id	plot	genres	n_genres	image_path
0142248	Emperor Chiaotzu's wife has gone missing, and he is told by Master Shen that if he collects the seven dragon balls he can call upon the eternal dragon and wish for her return. Meanwhile, Goku and Krillin attend the World Martial Arts Tournament, which is hosted by the Emperor; Bora and his son Upa attempt to hide the dragon ball they found from the emperor's forces, which are under the control of the evil Shen and General Tao; and Bulma conducts her own search for the dragon balls with the help of Yamcha, Puar, and Oolong.	Animation|Action|Adventure|Family|Mystery	5	images/0142248.jpeg
0042179	"Jonesy and Lou are in Algeria looking for a wrestler they are promoting. Sergeant Axmann tricks them into joining the Foreign Legion, after which they discover Axmann's collaboration with the nasty Sheik Hamud El Khalid. Bits include Lou's mirage sightings, one a New York newsboy (""they gave me a bad corner"")."	Adventure|Comedy	2	images/0042179.jpeg
0109424	Wong Kar-Wai's movie about two love-struck cops is filmed in impressionistic splashes of motion and color. The first half deals with Cop 223, who has broken up with his girlfriend of five years. He purchases a tin of pineapples with an expiration date of May 1 each day for a month. By the end of that time, he feels that he will either be rejoined with his love or that it too will have expired forever. The second half shows Cop 663 dealing with his breakup with his flight attendant girlfriend. He talks to his apartment furnishings until he meets a new girl at a local lunch counter.	Comedy|Drama|Romance	3	images/0109424.jpeg
0058430	After being forcefully inducted as a soldier into war in 14th century Japan, his wife and mother remain living in a swamp. They eke out their living by ambushing worn-out warriors, killing them and selling their belongings to a greedy merchant. The woman comes to mistrust her daughter-in-law who has coupled up with a deserter, and begins to wear a facial mask she has taken from a slain samurai. In this disguise she is at first taken for a demon by her daughter.	Horror	1	images/0058430.jpeg
1059969	It's South Africa, 1990. Two major events are about to happen: The release of Nelson Mandela and, more importantly, it's Spud Milton's first year at an elite boys only private boarding school. John Milton is a boy from an ordinary background who wins a scholarship to a private school in Kwazulu-Natal, South Africa. Surrounded by boys with nicknames like Gecko, Rambo, Rain Man and Mad Dog, Spud has his hands full trying to adapt to his new home. Along the way Spud takes his first tentative steps along the path to manhood. (The path it seems could be a rather long road). Spud is an only child. He is cursed with parents from well beyond the lunatic fringe and a senile granny. His dad is a fervent anti-communist who is paranoid that the family domestic worker is running a shebeen from her room at the back of the family home. His mom is a free spirit and a teenager's worst nightmare, whether it's shopping for Spud's underwear in the local supermarket, or sneaking food into her handbag at school functions. Armed with only his wits and his diary, Spud takes us from illegal night swimming to the red-hot furnace of the cricket pitch, from ghostbusting to a catastrophic family vacation. He also invites us into the mind of a boy struggling to come to terms with a strange new world, a boy whose eyes are being opened to love, friendship and complete insanity.	Comedy|Drama	2	images/1059969.jpeg
0095107	An obnoxious and bumbling but well-meaning man attempts to help Santa Claus find a successor. Failure wouild mean that there would be no Christmas.	Comedy|Family|Fantasy	3	images/0095107.jpeg
0258827	Inken (Diana Amft) is an eighteen-year-old girl, frustrated for not having had an orgasm yet with her boyfriend. Her two best friends are Vicky (Felicitas Woll), who is in the same situation as Inken, not knowing the pleasure of an orgasm, and the still virgin Lena (Karoline Herfurth). Inken and Vicky try to find a man or woman able to give pleasure to them while Lena has her heart broken by her boyfriend. But they finally find mates and achieve their dreams.	Comedy	1	images/0258827.jpeg
0197213	This parody of popular Japanese teenage girls' romances includes slapstick in a comedy of robbers versus robbers. When a gas leak explodes at a yakuza's headquarters, a shy, timid nurse and a meek rental car clerk gain possession of a briefcase of blood-soaked money. The rest is chase and escape, as the nurse is transformed to glamorous heroine and outsmarts the gangsters eager to recover the loot.	Comedy	1	images/0197213.jpeg
0292501	New York serves as a backdrop for a cast of characters in search of love, lust or lucre including a woman who makes awkward moves on the man renovating her SoHo loft, an embezzler, a sleazy artist and a phone psychic.	Comedy|Drama|Romance	3	images/0292501.jpeg
0097576	Indiana Jones, famed adventurer and archaeologist acquires a diary that holds clues and a map with no names to find the mysterious Holy Grail- which was sent from his father, Dr. Henry Jones, in Italy. Upon hearing from a private collector, Walter Donavan, that the mission for the Holy Grail went astray with the disappearance of his father, Indiana Jones and museum curator Marcus Brody venture to Italy in search of Indy's father. However, upon retrieving Dr. Henry Jones in Nazi territory, the rescue mission turns into a race to find the Holy Grail before the Nazis do- who plan to use it for complete world domination for their super-race. With the diary as a vital key and the map with no names as a guide, Indiana Jones once again finds himself in another death defying adventure of pure excitement.	Action|Adventure|Fantasy	3	images/0097576.jpeg
0119819	When Dorine Douglas' job as proofreader for Constant Consumer Magazine is turned into an at-home position during a downsizing, she doesn't know how to cope, but after accidentally killing one of her co-workers, she discovers that murder can quench the loneliness of her home life, as a macabre office place forms in her basement, populated by dead co-workers.	Comedy|Horror|Thriller	3	images/0119819.jpeg
0036395	In the small town of Crown Port local attorney Bill Adams is trying to break up the ring of corrupt town officials by running for mayor. The cards seemed stacked against him when he gets help from a visiting hunter who, unknown to Adams and the rest of the town, is actually vacationing supreme court justice John Josephus Grant.	Drama|Romance	2	images/0036395.jpeg
0108256	A man shares some lazy memories about his friend, Manek Mulla, who had a knack for telling stories. On this particular afternoon, Manek narrates a 'unique' love affair with the help of different stories, various characters' point of views and the social relevance of these stories. As these stories proceed, reality mixes with fiction.	Drama|Romance	2	images/0108256.jpeg
0967945	A woman leaves an abusive relationship to begin a new life in a new city, where she forms an unlikely and ironic relationship with a suicidal hit man (unbeknownst to her). Enter a worn, alcoholic detective to form the third party in a very unusual triangle as this story begins to unfold.	Drama	1	images/0967945.jpeg
0104299	Auto racer Alex Furlong is snatched by time travel, a split second before a fatal explosion, by Vasendak's 21st-century team of techies, who plan to sell his healthy body to an ailing rich man at McCandless Corporation, for a mind transfer. He escapes, but has no rights in this nightmare future of violence and sleaze. The story concerns his survival, and his attempt to revive his relationship with his fiancée Julie, now 15 years older and an executive at McCandless.	Action|Crime|Sci-Fi|Thriller	4	images/0104299.jpeg
0448400	In Germany, as graduate student Katie Armstrong researches cannibal killer Oliver Hagen for her thesis, she becomes obsessed with her subject and ultimately plunges into a lifestyle similar to Hagen's and the thousands of people like him.	Crime|Drama|Horror|Thriller	4	images/0448400.jpeg
0067992	The world is astounded when Willy Wonka, for years a recluse in his factory, announces that five lucky people will be given a tour of the factory, shown all the secrets of his amazing candy, and one will win a lifetime supply of Wonka chocolate. Nobody wants the prize more than young Charlie, but as his family is so poor that buying even one bar of chocolate is a treat, buying enough bars to find one of the five golden tickets is unlikely in the extreme. But in movieland, magic can happen. Charlie, along with four somewhat odious other children, get the chance of a lifetime and a tour of the factory. Along the way, mild disasters befall each of the odious children, but can Charlie beat the odds and grab the brass ring?	Family|Fantasy|Musical	3	images/0067992.jpeg
0024262	Prohibition is ending so bootlegger Bugs Ahearn decides to crack California society. He leases a house from down-on-her-luck Ruth and hires her as social secretary. He rescues Polly Cass from a horsefall and goes home to meet her dad who sells him some phony stock certificates. When he learns about this he sends to Chicago for mob help.	Comedy|Crime|Romance	3	images/0024262.jpeg
0138645	Finnish porn movie producer Pertsa returns from America to his home country to continue his profession with hopelessly small budgets and incompetent casts and crews. A self-ironic satire about director Donner's scandalous fame in late 1960s Finland, notorious for a graphic long shot of his penis pointing northeast.	Comedy|Drama	2	images/0138645.jpeg
0060408	Ireland 1587. Hugh O'Donnell inherits the title of The O'Donnell, the prince of Donegal, and tries to unite Ireland to make war on England. But then Hugh is kidnapped and imprisoned by the Viceroy of Ireland and held ransom for the Clans' good behavior. Hugh must escape prison and the Viceroy's villainous henchman, Captain Leeds, before he can fight.	Adventure|Biography|Family|History|Romance	5	images/0060408.jpeg
1538874	A humorous essay on the Romanian odyssey from Communism to capitalism as seen from the perspective of one of Romania's most charismatic symbols: Dacia, a simple and discreet automobile, but also a mirror of Romanian society.	Documentary|History	2	images/1538874.jpeg
0078087	When flesh-eating piranhas are accidentally released into a summer resort's rivers, the guests become their next meal.	Comedy|Horror|Sci-Fi	3	images/0078087.jpeg
0063013	Newly-married Rebecca leaves her husband's Alsatian bed on her prized motorbike - symbol of freedom and escape - to visit her lover in Heidelberg. En route she indulges in psychedelic reveries as she relives her changing relationship with the two men.	Romance	1	images/0063013.jpeg
0428518	"An intimate look at hip-hop artist Shawn Carter, Jay-Z, revealing the multiple Grammy Award winning artist as never before, from his background and rise to fame to the recording of his last album. The film chronicles the legendary concert of Jay-Z's performance at Madison Square Garden in November 2003. In an unprecedented event, a hip-hop artist sold out an arena in only two hours. Nearly one year later, fans and artists alike still reflect on this monumental musical night. The event was a spectacular culmination of Jay-Z's recording career prior to his self-proclaimed retirement from solo performing. Yet this one night also defined a musical generation, showcasing the evolution and reach of the world's most popular music genre. Guest performers included Jay-Z's closest friends and music industry colleagues: Beyoncé, Mary J. Blige, Missy Elliott, R. Kelly, Foxy Brown, Pharrell, and Questlove and The Illadelphonics along with appearances by hip hop icons Damon Dash, Rick Rubin, Slick Rick, P. Diddy and many others. Viewers get the rare glimpse of Jay-Z's creative process as he searches for inspiration, poetry, and perfection in his songs. Narrated by Jay-Z, his account of the night takes on reflections of his entire musical career and his journey that led to this one astounding, fabled evening--rightfully called ""Fade To Black."""	Documentary	1	images/0428518.jpeg
0314871	"""Washington Heights"" tells the story of Carlos Ramirez, a young illustrator burning to escape the Latino neighborhood of the same name to make a splash in New York City's commercial downtown comic book scene. When his father, who owns a bodega in the Heights, is shot in a burglary attempt, Carlos is forced to put his dream on hold and run the store. In the process, he comes to understand that if he is to make it as a comic artist, he must engage with the community he comes from, take that experience back out into the world, and put it in his work."	Drama|Romance	2	images/0314871.jpeg
0113189	"When a deadly satellite weapon system falls into the wrong hands, only Agent 007 can save the world from certain disaster. Armed with his license to kill, Bond races to Russia in search of the stolen access codes for ""Goldeneye,"" an awesome space weapon that can fire a devastating electromagnetic pulse toward Earth. But 007 is up against an enemy who anticipates his every move: a mastermind motivated by years of simmering hatred. Bond also squares off against Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon."	Action|Adventure|Thriller	3	images/0113189.jpeg
2245223	A feature documentary film set in Hollywood, examining a radical experiment in '70s utopian living. The Source Family were the darlings of the Sunset Strip until their communal living, outsider ideals and spiritual leader Father Yod's 13 wives became an issue with local authorities. They fled to Hawaii, leading to their dramatic demise.	Documentary|Music	2	images/2245223.jpeg
1928340	When the last day of school comes for a group of students in a philosophy class, their instructor, Mr. Zimit, challenges them to different sorts of exercises that take place in a post-nuclear apocalyptic world. While there, they each get chosen professions and have to decide whether who is valuable or not because the bunker they will be staying in for a year has only enough oxygen for 10 people. Mr. Zimit challenges them in different rounds to see how they could survive. Issues arise when they notice Mr. Zimit is disruptive to the game.	Drama|Fantasy|History|Sci-Fi|Thriller	5	images/1928340.jpeg
0986264	Ishaan Awasthi is an eight-year-old whose world is filled with wonders that no one else seems to appreciate; colours, fish, dogs and kites are just not important in the world of adults, who are much more interested in things like homework, marks and neatness. And Ishaan just cannot seem to get anything right in class. When he gets into far more trouble than his parents can handle, he is packed off to a boarding school to 'be disciplined'. Things are no different at his new school, and Ishaan has to contend with the added trauma of separation from his family. One day a new art teacher bursts onto the scene, Ram Shankar Nikumbh, who infects the students with joy and optimism. He breaks all the rules of 'how things are done' by asking them to think, dream and imagine, and all the children respond with enthusiasm, all except Ishaan. Nikumbh soon realizes that Ishaan is very unhappy, and he sets out to discover why. With time, patience and care, he ultimately helps Ishaan find himself.	Drama|Family|Music	3	images/0986264.jpeg
1241329	A young man abandons his family for a solitary life of fly-fishing. His goal was to find his own way in the fishing world and thereby find himself and love.	Drama|Romance	2	images/1241329.jpeg
0102511	Not an adaptation of beat writer William S. Burrough's novel but a mix of biography and an interpretation of his drug- induced writing processes combined with elements of his work in this paranoid fantasy about Bill Lee, a writer who accidentally shoots his wife, whose typewriter transforms into a cockroach and who becomes involved in a mysterious plot in North African port called Interzone. Wonderfully bizarre, not unlike Burrough's books.	Drama	1	images/0102511.jpeg
0417871	A character study and a meditation on art in a time of opulence and syphilis. Gustave Klimt (1862-1918) lies in hospital, dying. In reveries, he recalls the early 1900s: it's fin de siècle Vienna. At the World Exposition in Paris, Klimt meets Georges Méliès, who does a moving picture for him, and Klimt falls under the spell of a woman who may be Lea de Castro. We see Klimt in his studio; we meet his mother and sister, who suffer from mental illness. We watch Klimt the libertine. On his deathbed and as a younger man, he imagines things as well: encounters with ministers and waiters and with women who are willing participants in his pleasures. Is this the source of art?	Biography|Drama	2	images/0417871.jpeg
0494222	In Wellington, Lily is a wallflower, inexplicably attracted to Jerrod, a loser. He's nursing a decade-long grudge against someone who teased him in high school; she's just out of a job. She goes home with him to a seacoast town where he intends to have it out with his nemesis; she meets his father, his daughter from a one-night stand, and other family members - and there's the memory of his talented (and dead) brother. Jerrod treats Lily badly, invents a relationship with a women he had a crush on years before, and gears up for his fight. Will she finally have enough and go home?	Comedy|Romance	2	images/0494222.jpeg
0104401	"On a rainy day as Uncle Heathcliff is forced to babysit his nephews, and spends the time recounting his adventures, he meets a cat who looks just like him, one where he winds up working for a mob boss, one where his dad gets released from prison but he thinks he escaped, one where he actually tries to be good, and a few others. In one tale, Heathcliff's pop gets parole, although Heathcliff thinks he's escaped; in another, Heathcliff's ""good angel"" conscience makes a short-lived appeal to his saintly side. Nostalgia reigns as the tabby holy terror plays various roles of television star, wrestling champ, and neighborhood bully."	Family|Animation|Comedy	3	images/0104401.jpeg
2172071	"Dean Yoginder Vashisht (Rishi Kapoor), retired, has fallen gravely ill. Several students from his final year at St. Theresa's College rush to his side. In flashbacks, they all recall the events that none of them have gotten over yet, including the dean, and how the ""Student of the Year"" competition shaped who they were, how they related, and what they've become."	Comedy|Romance	2	images/2172071.jpeg
0422295	In 1958, in New York City, the upper class Diane Arbus is a frustrated and lonely woman with a conventional marriage with two daughters. Her husband is a photographer sponsored by the wealthy parents of Diane, and she works as his assistant. When Lionel Sweeney, a mysterious man with hypertrichosis (a.k.a. werewolf syndrome, a disease that causes excessive body hair), comes to live in the apartment in the upper floor, Diane feels a great attraction for him and is introduced to the world of freaks and marginalized people, falling in love with Lionel.	Biography|Drama|Romance	3	images/0422295.jpeg
0427309	"Marshall, Texas, described by James Farmer, Jr. as ""the last city to surrender after the Civil War,"" is home to Wiley College, where, in 1935-36, inspired by the Harlem Renaissance and his clandestine work as a union organizer, Professor Melvin Tolson coaches the debate team to a nearly-undefeated season that sees the first debate between U.S. students from white and Negro colleges and ends with an invitation to face Harvard University's national champions. The team of four, which includes a female student and a very young James Farmer, is tested in a crucible heated by Jim Crow, sexism, a lynch mob, an arrest and near riot, a love affair, jealousy, and a national radio audience."	Biography|Drama	2	images/0427309.jpeg
3042408	Benjamin, a young German computer whiz, is invited to join a subversive hacker group that wants to be noticed on the world's stage.	Crime|Drama|Thriller	3	images/3042408.jpeg
0433035	In the near future when people become uninterested in boxing and similar sports, a new sport is created - Robot boxing wherein robots battle each other while being controlled by someone. Charlie Kenton, a former boxer who's trying to make it in the new sport, not only doesn't do well, he is very deeply in the red. When he learns that his ex, mother of his son Max, dies, he goes to figure out what to do with him. His ex's sister wants to take him in but Charlie has first say in the matter. Charlie asks her husband for money so he can buy a new Robot in exchange for turning Max over to them. He takes Max for the summer. And Max improves his control of his robot. But when the robot is destroyed, they go to a scrap yard to get parts. Max finds an old generation robot named Atom and restores him. Max wants Atom to fight but Charlie tells him he won't last a round. However, Atom wins. And it isn't long before Atom is getting major bouts. Max gets Charlie to teach Atom how to fight, and the father and son bond strenghtens.	Action|Drama|Sci-Fi|Sport	4	images/0433035.jpeg
0072752	The head of a failing French family thinks that fate has smiled down on him when the daughter of a wealthy man agrees to be married to his son. The daughter and her aunt then travel out to the French countryside to meet with the family, unaware that a mysterious 'beast' is stalking the vicinity.	Drama|Fantasy|Horror|Romance	4	images/0072752.jpeg
0317705	"Bob Parr (A.K.A. Mr. Incredible), and his wife Helen (A.K.A. Elastigirl), are the world's greatest famous crime-fighting superheroes in Metroville. Always saving lives and battling evil on a daily basis. But fifteen years later, they have been forced to adopt civilian identities and retreat to the suburbs where they have no choice but to retire as superheroes to live a ""normal life"" with their three children Violet, Dash and Jack-Jack (who were secretly born with superpowers). Itching to get back into action, Bob gets his chance when a mysterious communication summons him to a remote island for a top secret assignment. He soon discovers that it will take a super family effort to rescue the world from total destruction."	Animation|Action|Adventure|Family	4	images/0317705.jpeg
0170232	Two pieces of meat fall in love.	Animation|Short|Comedy|Fantasy|Romance	5	images/0170232.jpeg
0119987	Joe and Mary have been living together in Manhattan for six years. Joe is an actor, who has no agent and no thesping credits, but whose ambitions are very high. He works as a waiter at a cafe. Mary works as a make-up stylist for hot fashion photographer Blair, and she pays most of the pair's bills. Joe finally lowers his standards and accepts a degrading bit in a Madonna video, while his friend and co-waiter Bob gets a high-paying job on a soap opera opposite siren Kelly.	Comedy|Drama|Romance	3	images/0119987.jpeg
